pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
125.04,-75.815,-90.0,top,J1,,,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,VGA Out,tht
120.65,-97.79,0.0,top,J2,MJ-3536N,,MJ3536N,Audio Out,tht
130.75,-79.92,180.0,top,J3,,,PinHeader_1x07_P2.54mm_Vertical,To VGA,tht
143.51,-81.28,180.0,top,J4,,,PinHeader_1x08_P2.54mm_Vertical,RGB/DIN,tht
158.75,-76.2,-90.0,top,J5,671-0801,,6710801,DIN8 Socket,tht
158.75,-101.36,-90.0,top,J6,671-0601,,6710601,DIN6 Socket,tht
